代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
002073.SZ,软控股份,袁仲雪,个人,袁仲雪先生：中国籍，无境外居留权，硕士学位，工程技术应用研究员，中共党员，享受国务院政府特殊津贴。全国第十二届人大代表、全国工商联执行委员会常委，同时担任中国橡胶工业协会高级副会长、国家橡胶与轮胎工程技术研究中心常务副主任、轮胎先进装备与关键材料国家工程实验室副主任。先后被评为中国特色社会主义事业优秀建设者、全国石油和化学工业劳动模范。2000年12月起，担任本公司董事长。,CSRC专用设备制造业,Wind资本货物
002074.SZ,国轩高科,李缜,个人,李缜先生，1964年1月出生，中国国籍，长江商学院EMBA。历任国营9419厂政治处干事、合肥市政府经济研究中心研究员、合肥市经济技术发展公司总经理、合肥国轩置业有限公司总经理；是合肥市人民代表大会第十三届、十四届、十五届代表、安徽省政治协商委员会第九届、十届、十一届委员。现任公司董事长、总经理，合肥国轩高科动力能源有限公司董事长，珠海国轩贸易有限责任公司执行董事。,CSRC电气机械及器材制造业,Wind资本货物
002075.SZ,沙钢股份,沈文荣,个人,沈文荣先生现任江苏沙钢集团董事局主席、党委常委、股东委员会会长，江苏沙钢集团淮钢特钢股份有限公司董事，江苏永钢集团有限公司名誉董事长，全国工商联中小冶金企业商会会长。,CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
002076.SZ,雪莱特,柴国生,个人,柴国生，男，中国国籍，持有公司49.66%的股份，无其他国家或地区居留权，为雪莱特及其前身的创始人，自公司前身1992年成立以来一直担任公司董事长兼总经理职务。,CSRC电气机械及器材制造业,Wind耐用消费品与服装
002077.SZ,大港股份,镇江市国有资产监督管理委员会,地方国资委,,CSRC房地产业,Wind房地产Ⅱ
002078.SZ,太阳纸业,李洪信,个人,"李洪信先生,生于1953年,中国国籍,无境外居留权.大学学历,高级经济师.曾任兖州市造纸厂技术科长,厂长,山东太阳纸业集团总公司,山东太阳纸业集团有限公司董事长等职务.李洪信先生是全国劳动模范,第九届全国人大代表,第十届全国人大代表,全国工商联纸业商会会长,山东省工商联副主席.现任山东太阳纸业股份有限公司董事长,总经理.",CSRC造纸及纸制品业,Wind材料Ⅱ
002079.SZ,苏州固锝,吴念博,个人,"吴念博,现任本公司董事长兼总经理,同时兼任苏州晶讯科技股份有限公司,明锐光电股份有限公司,苏州晶银新材料股份有限公司,苏州明皜传感科技有限公司,江苏艾特曼电子科技有限公司董事长,苏州国发创新资本投资有限公司,苏州硅能半导体科技股份有限公司董事.此外,吴念博先生还担任民建苏州市委副主委,民建中央企委会委员,苏州市人大常委会委员,苏州市残疾人福利基金会副理事长,中国半导体行业协会分立器件协会副理事长,苏州明德公益基金会理事.",CSRC计算机、通信和其他电子设备制造业,Wind半导体与半导体生产设备
002080.SZ,中材科技,国务院国有资产监督管理委员会,国资委,,CSRC非金属矿物制品业,Wind资本货物
002081.SZ,金螳螂,朱兴良,个人,"朱兴良:中国国籍,无其他国家或地区居留权,曾任苏州金螳螂建筑装饰有限公司董事长,现任本公司董事,苏州市建筑装饰协会会长,江苏省建筑装饰协会副会长,中国建筑装饰协会副会长,苏州金螳螂控股有限公司董事长,苏州金螳螂企业(集团)有限公司董事,苏州美瑞德建筑装饰有限公司董事,苏州金螳螂建筑幕墙制造有限公司董事,苏州商业发展有限公司董事长,苏州金螳螂投资有限公司董事,苏州朗捷通智能科技有限公司董事.",CSRC建筑装饰和其他建筑业,Wind资本货物
002082.SZ,栋梁新材,陆志宝,个人,"陆志宝先生,中国籍,未有境外居留权,大专学历,高级经济师.1975年自军队转业后,曾先后担任湖州漾西修船厂厂长,湖州第一铝合金型材厂厂长,栋梁集团总经理等职.陆志宝先生具有丰富的企业管理经验,曾多次荣获浙江省和湖州市劳动模范,优秀共产党员等荣誉称号,并于2001年荣获第四届全国乡镇企业家称号.现兼任世纪栋梁董事长,总经理,上海兴栋执行董事兼总经理,金通证券监事.",CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002082.SZ,栋梁新材,"庄惠,赵守明",个人,庄惠：1965年4月出生，中国国籍，清华大学继续教育研究生课程进修班结业。2003-2008年任浙江万邦药业有限公司执行董事；2008年11月至2010年任浙江万邦药业有限公司监事；2011年至今任万邦德制药集团股份有限公司董事。赵守明：现任万邦德集团有限公司执行董事、万邦德制药集团股份有限公司董事长兼总经理、江苏贝斯康药业有限公司执行董事、浙江万邦德医药原料有限公司执行董事兼总经理、万邦德制药集团浙江医药销售有限公司执行董事兼总经理、万邦德制药集团杭州医药技术有限公司执行董事、万邦德医疗科技有限公司董事长。历任万邦德集团有限公司执行董事、总经理，浙江万邦药业有限公司监事、董事长、总经理，浙江万邦药业股份有限公司董事长、总经理。,CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002083.SZ,孚日股份,孙日贵,个人,孙日贵先生：历任公司董事长、总经理、党委书记，2014年5月当选公司第五届董事会董事长。现任孚日控股集团股份有限公司董事长，无在其他单位任职或兼职情况。,CSRC纺织业,Wind耐用消费品与服装
002084.SZ,海鸥卫浴,戎启平及家人,境外,戎启平先生：现任公司股东代表、监事会主席。,CSRC金属制品业,Wind耐用消费品与服装
002084.SZ,海鸥卫浴,唐台英及家人,境外,唐台英先生：现任公司董事长。任承鸥、北鸥、铂鸥、珠海班尼戈董事长，盈兆丰、鸥保、珠海爱迪生、北京爱迪生、鸥迪、荆鸥、盛鸥董事，北京富泰革基布股份有限公司董事。,CSRC金属制品业,Wind耐用消费品与服装
002085.SZ,万丰奥威,陈爱莲,个人,陈爱莲女士：中国国籍，无境外永久居留权，1958年1月出生，复旦大学EMBA，高级经济师；现任公司董事长、万丰奥特控股集团有限公司董事长、上海万丰锦源投资集团有限公司董事长；荣获中国经营大师、全国优秀创业企业家、全国优秀中国特色社会主义建设者、全国“三八”红旗手、中国十大杰出女性、华夏巾帼“爱心使者”、风云浙商等称号，当选为全国十二届人大代表、中共十七大代表，浙江省第十一届、第十二届党代表，并担任中国企业联合会副会长、上海市浙江商会执行副会长、上海浙江商会女企业家联谊会会长、浙江省商会副会长等社会职务。,CSRC汽车制造业,Wind汽车与汽车零部件
002085.SZ,万丰奥威,吴良定,个人,"吴良定先生:中国国籍,无境外永久居留权,1946年9月出生,高级经济师,全国轻工系统劳动模范,高级经济师,全国轻工系统劳动模范.浙江中宝实业控股股份有限公司,浙江日发控股集团有限公司创始人.",CSRC汽车制造业,Wind汽车与汽车零部件
002085.SZ,万丰奥威,吴捷,个人,吴捷先生：中国国籍，无境外永久居留权，1967年10月出生，法律硕士，经济师，现任浙江日发控股集团有限公司董事长兼首席执行官、总裁。荣获国家科学技术进步奖二等奖，国家863计划CIMS主题工作先进工作者，浙江省杰出民营企业家，第三届浙江青年科技金奖，绍兴市青年建设功臣，第五届绍兴市十佳杰出青年，绍兴市劳动模范，新昌县经济发展功臣等多项荣誉称号。,CSRC汽车制造业,Wind汽车与汽车零部件
002086.SZ,东方海洋,车轼,个人,"车轼,中国国籍，2005年7月至今任公司董事长，2013年12月至今任公司总经理，现兼任山东东方海洋集团有限公司董事长。社会兼职：中国渔业协会副会长、中国水产流通与加工协会副会长、山东省人大代表、山东省渔业协会副会长、山东省农业产业化龙头企业协会副理事长、山东省海藻产业协会副会长、烟台市渔业协会会长、烟台市工商联合会副会长、烟台市食品工业协会副会长、烟台市红十字会荣誉会员。",CSRC渔业,Wind食品、饮料与烟草
002087.SZ,新野纺织,新野县财政局,地方政府,"法定代表人/单位负责人,王保山",CSRC纺织业,Wind耐用消费品与服装
002088.SZ,鲁阳节能,Michael G. Fisch,境外,"Michael G.Fisch于1994年创立American Securities,并担任American Securities及其附属基金的管理成员和首席执行官.创立American Securities之前,Michael G.Fisch曾在William Rosenwald Family,Bain&Company巴黎办公室和Goldman Sachs并购部门任职.他拥有美国达特茅斯学院的学士学位和斯坦福大学的硕士学位",CSRC非金属矿物制品业,Wind材料Ⅱ
002089.SZ,新海宜,马玲芝,个人,"马玲芝女士,公司副总裁,1962年9月生,女,中国国籍,本科.1984年起历任苏州职业大学教师,苏州海宜电信设备有限公司营销总监,新海宜电信发展公司营销总监,2001年至今担任公司副总经理,2010年3月起至今任公司副总裁.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002089.SZ,新海宜,张亦斌,个人,"张亦斌先生,公司董事长,总裁,1964年12月生,中国国籍,硕士.1985年起历任苏州职业大学教师,苏州市医药管理局干部,苏州海宜电信设备有限公司总经理,1997年起任公司董事长兼总经理,2003年起任公司董事长,2010年3月起至今任公司董事长兼总裁.现兼任深圳易软技术董事,新纳晶董事长,新海宜图像执行董事,新海宜智能执行董事,海汇投资执行董事,西安秦海董事长,海量能源执行董事,新海宜电商物流执行董事,新海宜信息科技董事长兼总经理,新海宜电子技术董事长兼总经理,北京新海宜执行董事兼经理,甪直小贷公司董事,苏州泓融投资有限公司执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002090.SZ,金智科技,葛宁,个人,"葛宁先生中国国籍,公司董事长,高级工程师.毕业于东南大学电子工程系,2004年获中欧国际工商学院EMBA.1981年毕业于东南大学后留校从事科研管理工作,任东南大学设备科科长.1995年组建本公司,任总经理;2000年整体改制为股份有限公司,任副董事长兼总经理;2005年6月至今任董事长.现兼任南京金智创业投资有限公司董事,江苏东大金智建筑智能化系统工程有限公司董事,上海应天创业投资有限公司董事.2007年当选为南京市江宁区人大代表,2004年被南京市政府授予“建设新南京有功个人”和“南京市软件企业十大领军人物”称号,2003年被国家劳动人事部,信息产业部授予“全国信息产业系统劳动模范”称号.",CSRC电气机械及器材制造业,Wind资本货物
002090.SZ,金智科技,徐兵,个人,"徐兵先生中国国籍,公司董事,毕业于东南大学电力系统及其自动化专业,2008年获北京大学光华管理学院EMBA硕士学位.曾任职于南京电力自动化设备总厂厂站自动化室工程师,现任本公司董事,南京金智创业投资有限公司董事长,上海应天创业投资有限公司董事长,江苏金智教育信息技术有限公司执行董事.",CSRC电气机械及器材制造业,Wind资本货物
002090.SZ,金智科技,叶留金,个人,"叶留金先生中国国籍,公司董事,常务副总经理,硕士,毕业于东南大学电力系统及其自动化专业,2004年获中欧国际工商学院EMBA.曾任职东南大学电气工程系讲师,现任本公司董事,常务副总经理,兼任南京金智创业投资有限公司董事,南京东大金智电气销售有限公司执行董事.主持完成“MFC2000型微机厂用电快速切换装置”的研制,获国家电力公司科技进步三等奖.",CSRC电气机械及器材制造业,Wind资本货物
002090.SZ,金智科技,朱华明,个人,"朱华明先生中国国籍,公司董事,执行副总经理,硕士,毕业于清华大学,电力部电力自动化研究院电力系统自动化专业.曾任职电力部电力自动化研究院自控研究所.现任本公司董事,执行副总经理,兼任南京金智创业投资有限公司董事.主持开发了具有国内领先水平的“DCAP-4000发电厂电气监控管理系统及装置”等多项产品,获江苏省科技进步二等奖一项.",CSRC电气机械及器材制造业,Wind资本货物
002090.SZ,金智科技,贺安鹰,个人,"贺安鹰先生中国国籍,公司执行副总经理,毕业于东南大学计算机应用专业,2007年获北京大学光华管理学院EMBA.曾就职于东南大学计算机系,现任公司执行副总经理,兼任江苏金智教育信息技术有限公司监事.",CSRC电气机械及器材制造业,Wind资本货物
002090.SZ,金智科技,丁小异,个人,"丁小异先生中国国籍,公司董事,高级会计师.毕业于中国人民大学会计系,曾任东南大学审计处副处长,产业处副处长,历任公司财务总监,现任公司董事,审计部负责人,兼任南京金智创业投资有限公司董事,江苏东大金智建筑智能化系统工程有限公司董事长,南京东大金智电气自动化有限公司监事,江苏金智教育信息技术有限公司财务负责人.",CSRC电气机械及器材制造业,Wind资本货物
002091.SZ,江苏国泰,江苏国泰国际集团有限公司,地方国有企业,"江苏国泰国际集团有限公司,法定代表人:张子燕,成立日期:1992年09月08日;组织机构代码:13485082-8,注册资本:13485082-8,主要经营业务:主要作为国有资产投资主体,从事对外投资管理.",CSRC批发业,Wind资本货物
002092.SZ,中泰化学,新疆维吾尔自治区人民政府国有资产监督管理委员会,地方国资委,"法定代表人/单位负责人:邵峰成立日期:2004年10月15日主要经营业务:履行自治区人民政府出资人的职责.在自治区党委,人民政府的领导和国务院国资委的指导帮助下,深化国有资产管理体制和国有企业改革,完善国有资产监管体系,优化国有经济布局,加快结构调整步伐,推进企业改革发展,确保国有资产保值增值.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002093.SZ,国脉科技,林金全,个人,"林金全:中国国籍,未拥有永久境外居留权,身份证号码:350103310601003,住所为:福建省福州市台江区祖庙新村20 座2 幢203 室.",CSRC软件和信息技术服务业,Wind软件与服务
002093.SZ,国脉科技,林惠榕,个人,"林惠榕: 中国国籍, 未拥有永久境外居留权, 身份证号码:350103196210100045,住所为:福建省福州市鼓楼区福新路28 号阳光城21 座403 室.",CSRC软件和信息技术服务业,Wind软件与服务
002093.SZ,国脉科技,陈国鹰,个人,"陈国鹰先生:董事长兼总裁,中国国籍,无境外居留权,1963 年生,本科学历,工程师职称.1982 年7 月毕业于厦门大学数学专业;1982 年8 月至1984年9 月工作于北京邮电部邮电科学研究院任助理工程师;1984 年9 月至1994 年5 月工作于福建省邮电规划设计院任设计室主任,工程师;1994 年6 月至1996年5 月工作于福建省高昌经济技术开发服务公司;1996 年创建福建国脉通信技术有限公司任总经理;2000 年12 月至今任本公司总裁;2001 年5 月至2003 年12 月任本公司第一届董事会董事;2003 年12 月至今任本公司第二届董事会董事长.董事提名人:林惠榕,任期:2003 年12 月18 日至2006 年12 月17 日.",CSRC软件和信息技术服务业,Wind软件与服务
002094.SZ,青岛金王,陈索斌,个人,"陈索斌:国籍:中国是否取得其他国家或地区居留权:否最近5年的职业及职务:2001 年4 月至2004 年4 月任公司第一届董事会董事长;2004 年4 月至2007年5 月任公司第二届董事会董事长,2007 年5 月至2010 年5 月任公司第三届董事会董事长;2010 年5 月至2013 年4 月任公司第四届董事会董事长;2013年4 月至今任公司第五届董事会董事长.同时兼任青岛金王集团有限公司董事,青岛金王工业园有限公司董事,青岛金王轻工制品有限公司董事.",CSRC化学原料及化学制品制造业,Wind家庭与个人用品
002095.SZ,生意宝,孙德良,个人,"孙德良先生:公司实际控制人,公司董事长兼总经理,兼任杭州中达董事,杭州涉其网络董事,浙江生意宝网络有限公司执行董事和总经理,上海网盛会展有限公司执行董事和总经理,上海生意社的执行董事和总经理,浙江新中化董事长,宁波网盛大宗商品董事长,浙江生意通董事长兼总经理,浙江网盛融资担保有限公司董事长,上海网盛运泽物流网络有限公司董事长,浙江网盛化纤电子商务有限公司董事长和总经理,浙江网盛电信信息技术有限公司董事长和总经理,杭州鑫康网络有限公司执行董事,浙江都市家庭服务有限公司执行董事.",CSRC互联网和相关服务,Wind软件与服务
002096.SZ,南岭民爆,湖南省国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002097.SZ,山河智能,何清华,个人,"何清华先生为中南大学教授,博士生导师,机电学科带头人之一,长期致力于工程装备与控制领域的研究,开发及产业化.现为山河智能装备集团总裁,山河智能装备股份有限公司董事长;长沙山河液压附件有限公司执行董事,无锡必克液压股份有限公司董事,安徽山河矿业装备股份有限公司董事长,天津山河装备开发有限公司董事长,湖南山河航空动力机械股份有限公司董事长,湖南山河科技股份有限公司董事长,湖南山河游艇股份有限公司董事长,湖南山河光电科技股份有限公司董事长;中国工程机械学会副理事长;中国工程机械工业协会副会长;湖南机械工程学会理事长.",CSRC专用设备制造业,Wind资本货物
002098.SZ,浔兴股份,王立军,个人,王立军先生，男，1972年出生。曾任职于中国建设银行唐山分行，现任天津汇泽丰企业管理有限责任公司执行董事。现持有汇泽丰99.9%股权，为汇泽丰控股股东，实际控制人。,CSRC其他制造业,Wind耐用消费品与服装
002099.SZ,海翔药业,王云富,个人,"王云富,中国国籍,自2003年3月起,收购人王云富一直在东港集团任职并担任副董事长总裁党委副书记和工会主席等职务.",CSRC医药制造业,Wind制药、生物科技与生命科学
002100.SZ,天康生物,新疆生产建设兵团国有资产经营公司,地方国有企业,"兵团国资公司成立于2001年12月11日,注册资本112,300万元,法定代表人张顺帮,注册地及主要生产经营地为乌鲁木齐市扬子江路19号,主营业务为新疆生产建设兵团授权范围内国有资产经营管理,国有资产产(股)权交易,商业信息咨询.",CSRC农副食品加工业,Wind食品、饮料与烟草
002101.SZ,广东鸿图,广东省粤科金融集团有限公司,地方国有企业,"广东省粤科金融集团有限公司,法定代表人/单位负责人:徐永胜,成立日期2000年09月21日,组织机构代码72507327-4,主要经营业务:风险投资、创业投资、股权投资；投资管理等",CSRC汽车制造业,Wind汽车与汽车零部件
002102.SZ,冠福股份,林福椿,个人,林福椿：中国国籍，林福椿先生，1996年4月起至2010年2月担任福建省德化冠峰耐热瓷有限公司董事长；2002年9月起至2011年10月担任冠福股份董事长。,CSRC医药制造业,Wind材料Ⅱ
002102.SZ,冠福股份,林文洪,个人,林文洪：林文洪先生，2002年9月至2008年10月，担任冠福股份监事；2003年至2008年10月任上海五天董事长；2008年11月至2012年4月担任上海五天总经理；2010年5月至2011年10月担任冠福股份董事；2011年10月至2012年2月担任冠福股份副董事长。,CSRC医药制造业,Wind材料Ⅱ
002102.SZ,冠福股份,林文智,个人,林文智：林文智先生，1996年4月起至今担任福建省德化冠峰耐热瓷有限公司总经理，2015年8月担任该公司董事；2002年9月起至今担任冠福股份董事、总经理，2008年10月至2009年7月担任冠福股份副董事长，2011年10至今担任冠福股份副董事长，2005年起至2012年3月兼任公司党委副书记，2012年3月起至今兼任公司党委书记；2002年10月至今任泉州冠杰陶瓷有限公司董事长；2011年8月至2015年12月任福建冠林竹木家用品有限公司董事，2012年12月至2015年12月任该公司的董事长。,CSRC医药制造业,Wind材料Ⅱ
002102.SZ,冠福股份,林文昌,个人,林文昌：中国国籍，林文昌先生，2004年10月至2008年10月担任上海五天总经理；2008年11月至今担任上海五天董事长；2002年9月至2008年10月担任冠福股份副董事长；2009年7月至2011年10月担任冠福股份副董事长；2011年10月至今担任冠福股份董事长；2014年12月至今担任能特科技有限公司董事。,CSRC医药制造业,Wind材料Ⅱ
002103.SZ,广博股份,王利平,个人,"王利平，男，中国国籍，无境外永久居留权，研究生学历，高级经济师。现任本公司董事，兼任宁波广博纳米新材料股份有限公司董事长，宿迁广博控股集团有限公司董事长，昆仑信托有限责任公司董事，宁波广博建设开发有限公司董事。第十二届全国人大代表，中国文教体育用品协会副会长、纸品本册专业委员会主任委员。获全国文教体育用品行业优秀企业家,中华慈善突出贡献人物奖,浙江省优秀中国特色社会主义事业建设者，新中国百名杰出贡献印刷企业家等荣誉。",CSRC文教、工美、体育和娱乐用品制造业,Wind软件与服务
002104.SZ,恒宝股份,钱云宝,个人,"钱云宝先生:中国国籍,1957年12月出生,毕业于江苏理工大学,大专学历,高级经济师.1996年起出任江苏现代安全印制有限公司董事长兼经理.2000年9月股份公司成立后,任公司董事长.钱云宝先生长期从事企业经营工作,具有丰富的经营管理经验,曾分别被江苏省乡镇企业管理局,镇江市人民政府和丹阳市人民政府授予“江苏省乡镇企业家”和“劳动模范”称号,是“镇江市人民奖章”获得者,2006年被选为江苏省党代表,现为镇江市和丹阳市人民代表大会代表.无其他国家或地区居留权.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002105.SZ,信隆健康,廖学金,个人,"中国国籍,籍贯台湾,高商毕业.该董事由股东利田发展有限公司提名,经公司股东大会一致通过,任期自2006年11月30日至2009年11月29日.曾任台湾信隆总经理,香港利田董事长,信隆实业(深圳)有限公司董事长,台湾自行车输出业同业公会常务理事,台湾自行车研究发展中心常务理事.现任深圳利田董事长,太仓信隆董事长,香港信隆董事长,深圳信碟董事长,健康产业董事长,美国信隆董事长,台湾信隆董事长,WISE CENTURY GROUP LTD.董事长,香港利田董事,中国工商理事会常务理事,台湾自行车运动协会常务理事,深圳进出口商会副会长,深圳市工业经济联合会副会长.",CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind耐用消费品与服装
002106.SZ,莱宝高科,国务院国有资产监督管理委员会,国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002107.SZ,沃华医药,赵丙贤,个人,"赵丙贤,中国国籍,无境外永久居留权,男,1963 年11 月出生,毕业于上海交通大学,硕士学位,有逾二十年的投资,并购,重组上市及企业经营管理经验,1997 年1 月出版的《资本运营论》,是国内第一部系统论述资本运营和投资银行的专著,为1997 年中国十大畅销书.2012年12月出版《有效动作论》.现任本公司董事长,北京中证万融投资集团有限公司董事长兼总裁.",CSRC医药制造业,Wind制药、生物科技与生命科学
002108.SZ,沧州明珠,于桂亭,个人,"于桂亭:中国国籍,身份证号码为130903490407001,住所为河北省沧州市运河区东塑街10号搂1-4号,不拥有永久境外居住权.",CSRC橡胶和塑料制品业,Wind材料Ⅱ
002109.SZ,兴化股份,陕西省人民政府国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002110.SZ,三钢闽光,福建省人民政府国有资产监督管理委员会,地方国资委,"法定代表人/单位负责人 郭锡文,组织机构代码,76176712-6.",CSRC黑色金属冶炼及压延加工,Wind材料Ⅱ
002111.SZ,威海广泰,李光太,个人,"李光太先生担任威海广泰投资有限公司董事,威海广泰科技开发有限公司董事,威海广泰特种车辆有限公司法人代表,威海广泰空港电源设备有限公司法人代表,本公司第四届董事会董事长.",CSRC专用设备制造业,Wind资本货物
002112.SZ,三变科技,浙江省三门县人民政府,地方政府,"法定代表人,邱士明.成立日期,1949年10月01日.",CSRC电气机械及器材制造业,Wind资本货物
002113.SZ,天润数娱,赖淦锋,个人,"赖淦锋,中国国籍,曾任广州深科园软件工程有限公司董事长,现任广东新金山置业有限公司董事长,广东恒润华创实业发展有限公司董事长,兼任中国青年企业家协会常务理事,广东省和广州市青年联合会委员,广州市招商协会副会长,广州市青年企业家协会副会长,2010年9月30日起任公司董事长.",CSRC互联网和相关服务,Wind软件与服务
002114.SZ,罗平锌电,罗平县财政局,地方政府,"法定代表人:皇甫昌平,罗平县财政局为国家行政机构",CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
002115.SZ,三维通信,李越伦,个人,"李越伦,中国国籍,没有取得其他国家或地区居留权.1984年毕业于南京邮电学院电信工程专业,本科学历.1984年至1993年在浙江省邮电科学研究所从事科研工作,任工程师;1993年起担任浙江三维通信有限公司总经理,2002年起担任有限公司董事长,总经理;2004年3月至2007年8月27日担任公司董事长,总经理.现任公司董事长,兼任浙江三维股权投资管理有限公司董事,浙江三维无线科技有限公司董事长,上海三维通信有限公司董事长,浙江三维通信技术服务有限公司董事长,香港三维通信有限公司执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002116.SZ,中国海诚,国务院国有资产监督管理委员会,国资委,,CSRC专业技术服务业,Wind资本货物
002118.SZ,紫鑫药业,郭春生,个人,"郭春生,男,中国国籍,未拥有永久境外居留权,出生于1971年3月19日;户口所在地:吉林省敦化市长安路14-4-46号,身份证号:222403197103190413.本科学历,高级工程师,高级经济师,吉林省人大代表.1990年4月至1992年6月任吉林敖东集团彩印厂设备维修班班长;1992年7月至1997年3月任吉林敖东药业集团股份有限公司产品经理;1996年4月至1997年3月任吉林敖东鹿筋壮骨酒公司总经理;1997年3月至1998年4月任延边敖东新药特药有限责任公司总经理;1998年5月起任通化紫金药业有限责任公司(本公司前身)董事长兼总经理,2012年1月辞去吉林紫鑫药业股份有限公司董事长及总经理职务,继续担任董事,2013年5月21日董事任期届满后,不再公司担任任何职务.",CSRC医药制造业,Wind制药、生物科技与生命科学
002120.SZ,韵达股份,陈立英,个人,"姓名:陈立英,性别:女,国籍:中国,身份证号:33012419751030****,住所:浙江省桐庐县桐君街道滨江路****,通讯地址:上海市青浦区盈港东路6679号.",CSRC其他制造业,Wind运输
002120.SZ,韵达股份,聂腾云,个人,"姓名:聂腾云,性别:男,国籍:中国,身份证号:33010419760124****,住所:浙江省桐庐县桐君街道滨江路****,通讯地址:上海市青浦区盈港东路6679号.",CSRC其他制造业,Wind运输
002121.SZ,科陆电子,饶陆华,个人,"饶陆华:董事长兼总经理,男,出生于1965年7月,大学本科,中国国籍.饶陆华先生先后荣获深圳市福田区第三届“十大杰出青年”,“广东省优秀民营企业家”,深圳市中小企业发展促进会“永久荣誉会长”和“企业优秀管理者”,“中国计量协会副理事长”光荣称号.2005年当选为深圳市政协委员.",CSRC仪器仪表制造业,Wind资本货物
002122.SZ,天马股份,徐茂栋,个人,"姓名徐茂栋,曾用名无,性别男,国籍中国,未取得其他国家或者地区的居留权，身份证号4201061967********，通讯地址北京市海淀区信息路18号上地创新大厦一层",CSRC通用设备制造业,Wind资本货物
002123.SZ,梦网荣信,余文胜,个人,"余文胜，360102196804******，男，中国，住所:广东省珠海市香洲区前山金山街,通讯地址:深圳市南山区高新中四道30号龙泰利科技大厦2层",CSRC软件和信息技术服务业,Wind资本货物
002124.SZ,天邦股份,吴天星,个人,"吴天星:1963年4月出生,男,教授,博士生导师,国务院特殊津贴获得者,浙江省有突出贡献科技工作者,宁波市科技创新特别奖获得者,入选浙江省新世纪151人才工程第一层次人才.历任浙江农业大学讲师,中国畜牧兽医学会动物营养学分会第五届理事会理事,余姚天邦副董事长,浙江大学副教授,硕士生导师,浙江省博士后联谊会第六届理事会副理事长,宁波天邦股份有限公司副董事长.现任本公司董事长,兼任浙江大学理学院教授,动物营养学和饲料科学与化学生物学两学科博士生导师,浙江大学宁波理工学院分子设计与营养工程重点实验室主任,浙江省博士后联谊会第七届理事会理事长,浙江巨邦高新技术有限公司副董事长.",CSRC农副食品加工业,Wind食品、饮料与烟草
002124.SZ,天邦股份,张邦辉,个人,"张邦辉:1963年7月出生,男,研究生学历.历任中国水产科学研究院淡水渔业研究中心助研,无锡化十动物营养保健品有限公司副总经理,余姚天邦总经理,宁波天邦饲料科技股份有限公司董事,总经理.现任本公司副董事长,总经理,兼任全国饲料工业标准化技术委员会委员,中国畜牧兽医学会动物营养研究会水产专业委员会理事,余姚市高层次人才联谊会副会长,余姚市科协副主席,余姚市人大常委会委员.张邦辉先生自工作以来,先后承担浙江省科技攻关项目,国家科技部星火计划项目,国家科技部火炬计划项目,率先在行业内引进世界最先进的饲料加工工艺--挤压技术,研制出符合食品安全和环保要求的绿色环保型特种水产饲料,为我国水产养殖业的可持续发展做出了开创性的工作,曾获得浙江省科技进步一,三等奖,宁波市科技进步二等奖等奖励.作为主要完成人,承担的浙江省科委项目“欧洲鳗全价料研究”,获1998年度浙江省渔业科技进步一等奖,浙江省科技进步三等奖,被授予“国家级新产品”证书,并著有“欧洲鳗营养需要综述与配合饲料研究”等论文;作为主要完成人,承担的“天邦牌特种水产饲料”研究,被评为“宁波市名牌产品”;",CSRC农副食品加工业,Wind食品、饮料与烟草
002125.SZ,湘潭电化,湘潭市国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002126.SZ,银轮股份,徐小敏,个人,徐小敏，1958年出生，自1975年进入天台机械厂工作，历任车间主任、生产科科长、厂长、董事长。现任公司董事长，兼任天台银轮实业发展有限公司执行董事、天台银轮工贸发展有限公司董事长、浙江银轮置业发展有限公司执行董事、湖北银轮起重机械股份有限公司董事长、天台县银信小额贷款股份有限公司董事长、山东银轮热交换系统有限公司董事长、上海银轮热交换系统有限公司执行董事、上海银畅国际贸易有限公司董事长、上海创斯达热交换器有限公司董事长、浙江银吉汽车零部件股份有限公司董事长、南昌银轮热交换系统有限公司董事长、宁波正奇投资管理中心（有限合伙）执行事务合伙人。,CSRC汽车制造业,Wind汽车与汽车零部件
002127.SZ,南极电商,朱雪莲,个人,朱雪莲，女，中国国籍，身份证号码：31010819****142803，住所：上海市卢湾区****，通讯地址：上海市黄浦区****。,CSRC商务服务业,Wind零售业
